﻿R10136-0_1_1,"I'm a person of ill omen, you'd better stay away from me.",ข้าคือผู้ที่จะนำโชคร้ายมาให้ เจ้าควรอยู่ให้ห่างจากข้าจะดีกว่า
TMR-2_15_1,Demon Chu Kuangsheng? How come you are here!
TMR-2_15_2,"You old bull nose came, why can't I come?"
TMR-2_16_1,"Amitabha... Chu Kuangsheng, long time no see."
TMR-2_16_2,"Indeed, it's been a long time, you old turtle look even older."
TMR-2_17_1,Chu Kuangsheng?! How come you---
TMR-2_17_2,"How dare you, the name Chu Kuangsheng is not something you can call casually?"
TMR-2_17_3,Chu Kuangsheng?|Who is that?|Never heard of him.|He seems tough to deal with.
TMR-2_18_1,"(So he is Chu Kuangsheng, this saves me a lot of trouble...)"
TMR-2_19_1,Who are you and what are you doing in the court!
TMR-2_19_2,"I've been this Old Demon for decades, what else could I possibly do this time?"
TMR-2_19_3,"Masked boy, you must be the most reputable person in this court! Let me see how capable the young generation is!"
TMR-2_19_4,"It's a pity that this place is too small to show off our skills, let's fight outside!"
TMR-2_20_1,"Chu Kuangsheng, are you going to cause chaos in the martial arts world again?"
TMR-2_21_1,"Amitabha, I will not sit idly by while you do evil!"
TMR-2_22_1,What are you trying to do? Stop him for me!
TMR-2_23_1,"Hehe, it's not up to you!"
TMR-2_23_2,Let's go!
TMR-2_23_3,"This Old Man looks old and frail, but he effortlessly carries you and shakes off the pursuers in a few steps.\nWhat's even more incredible is that he carries you without causing you any discomfort..."
TMR-2_24_1,"Senior Chu, what are you trying to do?"
TMR-2_24_2,"You really don't understand, kid. I saved you and you don't even say thank you?"
TMR-2_24_3,"...Indeed, thank you for your rescue, senior."
TMR-2_24_4,"Hehe, that's more like it."
TMR-2_24_5,But I don't know why senior saved me?
TMR-2_24_6,"Isn't it because my good junior brother asked me to help, and to give those self-proclaimed righteous people a bit of a shock!"
TMR-2_24_7,"It's just a pity that the fat man named Cai is not here, otherwise I really want to see his expression!"
TMR-2_24_8,"Senior brother, you really don't wait for anyone."
TMR-2_24_9,"How did you become so slow, junior brother, it took you so long to get here?"
TMR-2_24_10,"My old injury just healed, I can't compare to your speed."
TMR-2_24_11,"If I were as slow as you, your good disciple would have been killed by those guys long ago!"
TMR-2_24_12,So the senior brother you mentioned is Senior Chu!
TMR-2_24_13,"Yes, it's him, it seems you two get along well."
TMR-2_24_14,"This kid is not as compassionate as you, more to my liking!"
TMR-2_24_15,"Who made this kid take Qin Huizhi as his master, of course he is more to your liking."
TMR-2_24_16,"This kid took Qin Huizhi as his master? Hahaha, kid, why don't you call me master?"
TMR-2_24_17,Mas...Master.
TMR-2_24_18,"Good boy, for this master's call, I should give you a gift!"
TMR-2_24_19,"Alright, senior brother, stop playing, we should do something serious."
TMR-2_24_20,"Take back the Nine Factions Sect, right? What Qin Huizhi is doing now is unbearable to me, it's time to clean up."
TMR-2_24_21,"{PlayerName}, I will pass on my ultimate skill to you today, we will go ahead to the Nine Factions Sect and wait for you, then the three of us will clean up together!"
TMR-2_24_22,"Alright, I'll be there soon."
TMR-3_1_1,"Traitor Tie Mianren, you dare to come back!"
TMR-3_1_2,I came back to take back everything I lost and put the Nine Factions Sect back on track!
TMR-3_1_3,"Those who don't want to go to the grave with Qin Huizhi, run away, those who stay, there is only one way to die!"
TMR-3_1_4,"Hmph, you're full of big talk!"
TMR-3_2_1,"These disciples are really loyal to Qin Huizhi, better hurry to the Senluo Hall and settle accounts with Qin Huizhi."
TMR-3_3_1,"(Opera recitation) Bold traitor, dare to return to the royal land!"
TMR-3_4_1,You little brat... you really dare to come back.
TMR-3_5_1,...Old woman really doesn't want to see the white-haired person sending off the black-haired person...
TMR-3_6_1,"Your forehead is dark, you are doomed today!"
TMR-3_7_1,...You finally came.
TMR-3_7_2,"Qin Huizhi, I want to take back everything I lost!"
TMR-3_7_3,"Everything you've lost? Interesting, what exactly have you lost? Everything you have now is given by Me!"
TMR-3_7_4,"But because of you, I lost {PlayerName}, I lost myself!"
TMR-3_7_5,"It's because of you, you killed the emperor yourself, don't blame others."
TMR-3_7_6,"On the contrary, it's you guys, you are the ones who really took everything from Me!"
TMR-3_7_7,"Because you turned against us in the battle, Yan Yun Iron Army was destroyed, disrupting all our subsequent plans!"
TMR-3_7_8,"Because you guys made a mess in the Supreme Court, Jian Yan Emperor was furious and demoted Me to a commoner!"
TMR-3_7_9,"Because you old man saved this Old Demon, the last card of Me was also taken away by you! His skills, those Manuals he stole, should have been used by Me!"
TMR-3_7_10,"...I originally wanted to spare your life for the sake of our master-disciple relationship, it seems that there's no need to be kind-hearted and soft anymore."
TMR-3_7_11,"Qin Huizhi, those who commit many injustices will kill themselves, this is all your own fault."
TMR-3_7_12,"Your own fault? What do you old men know! As two of the Eight Saints, do you know how we ordinary people at the bottom feel?"
TMR-3_7_13,"When you rob the rich to help the poor, have you ever thought about where the poor people who depend on the rich for their livelihood will go?"
TMR-3_8_1,……
TMR-3_9_1,"When you save an Official who was attacked by bandits on the road, have you ever thought about whether this Official is loyal or treacherous, clean or dirty, and whether someone will lose their home and family because of this?!"
TMR-3_10_1,……
TMR-3_11_1,"Have you ever thought about it when you are avenging your grudges, the people you kill also have their own parents, wives and children, how are these people going to live?"
TMR-3_12_1,……
TMR-3_13_1,"When you eat meat and drink wine, have you ever thought that some people can't afford to eat and have to catch mice and insects to fill their hunger?!"
TMR-3_14_1,……
TMR-3_15_1,"You never thought about these issues, what you old guys think about is nothing more than castles in the air! It's Me who gave these people who suffered because of you so-called righteous people a place to stay!"
TMR-3_15_2,But this is not a reason for you to act recklessly and do all kinds of evil.
TMR-3_15_3,"You all have hands and feet, and a place to live. You could do more good deeds to benefit the world."
TMR-3_15_4,"What about those who oppress us? Do we deserve to be bullied by them, and they should be above us?"
TMR-3_15_5,They despise the law and lose their conscience. Someone will deal with them.
TMR-3_15_6,"Someone will deal with them? Leave everything to others? What's the difference from before? Since we are gathered here, we need to establish new rules, let those who are high above fall into the mud, and be trampled by thousands of people!"
TMR-3_15_7,Just one step away... just one step away!
TMR-3_15_8,"{PlayerName}, you ruined all my plans. How dare you come to me for justice!"
TMR-3_15_9,"Damn it, it's you guys!"
TMR-3_15_10,"Be careful, that guy is furious and has become obsessed. Don't get hurt by him."
TMR-3_15_11,Die!!
TMR-3_16_1,"From Qin Huizhi down, all of Nine Factions Sect died, a layer of filth has finally been thoroughly cleansed..."
TMR-3_16_2,"<size=250%><color=#E3170D>Nine Factions Sect, annihilated!</color></size>"
TMR-3_17_1,……
TMR-3_17_2,……
TMR-3_17_3,...You two could say something.
TMR-3_17_4,"Thinking about Qin Huizhi's death, it feels somewhat unreal."
TMR-3_17_5,"Now you are like his disciple, just as sentimental as him! Instead of being sentimental, think about what to do next."
TMR-3_17_6,"...Yes, not only do we need to reorganize the Nine Factions Sect, but also find a way to remove your mask."
TMR-3_17_7,What's wrong with this mask?
TMR-3_17_8,"This kid made a mistake before, which caused him to hide his identity and wander around the world."
TMR-3_17_9,What's the matter? Did you offend the Heavenly King or something?
TMR-3_17_10,"Almost, just made the emperor become the ""late emperor""."
TMR-3_17_11,"Hahahahaha!\nInteresting, interesting. When I was young, I could only come and go freely in the palace. You, young man, are even more powerful than me!"
TMR-3_17_12,I'm liking you more and more! Would you like to take me as your master?
TMR-3_17_13,"Senior brother, why are you stealing my love?"
TMR-3_17_14,Who made him unwilling to take you as his master?
TMR-3_17_15,How do you know he's still unwilling now?
TMR-3_17_16,"Why don't we have another competition, whoever wins will take him as a disciple?"
TMR-3_17_17,"Humph, let's compete, who's afraid of who!"
TMR-3_17_18,Um... Shouldn't you ask for my opinion...
TMR-3_17_19,"What's the matter? Many people can't even beg for the opportunity to take us as masters, and you're being picky?"
TMR-3_17_20,"Besides, you're going to take over the Nine Factions Sect, it's only right to take us as your masters."
TMR-3_17_21,"And we both have high seniority, you don't want to call us master all the time, do you?"
TMR-3_17_22,"Wait, take over the Nine Factions Sect? I've never heard of this..."
TMR-3_17_23,"It's your young people's era now, if you don't take over, should we two old men buried in the soil do it?"
TMR-3_17_24,"Go away, you're the one buried in the soil, I'm only half buried!"
TMR-3_17_25,But... Can I do it...
TMR-3_17_26,"Don't worry, with our help, you can definitely do it."
TMR-3_17_27,"Speaking of which, I have a good idea. Let this kid take both of us as masters at the same time, what do you think?"
TMR-3_17_28,"Deviant, it's a good idea that only you could come up with!"
TMR-3_17_29,"Anyway, my disciple is dead, you should give me a disciple according to the rules!"
TMR-3_17_30,Who calculates like that!
TMR-3_17_31,"Forget it, I'll make the decision. Kid, you kowtow to me three times to acknowledge me as your master, then kowtow to him three times to acknowledge him as your master, that's it!"
TMR-3_17_32,Why should I kowtow to you first!
TMR-3_17_33,Because I'm your senior brother!
TMR-3_18_1,"So, amidst the bickering of the two old men, you took them both as your masters.\nThe burden of the new Nine Factions Sect finally fell on your shoulders, but with these two masters accompanying you, it wasn't too heavy.\nNext, it's about how to deal with this mask..."
TMR-3_18_2,"Alright, it's time to discuss the issue of {PlayerName}'s mask."
TMR-3_18_3,"I already have an idea, what about you, junior brother?"
TMR-3_18_4,"Now that he is the rightful master of the Nine Factions Sect, and his reputation in the martial arts world is quite high, I think as long as he becomes the Master of Jianghu, when he takes off his mask and explains the reason, people will naturally accept him."
TMR-3_18_5,"Tsk, the righteous martial arts world is just like it was back then, all a bunch of fake honorable people! In my opinion, he should be like our eldest brother, a maintainer of martial arts order, an impartial judge with an iron face!"
TMR-3_18_6,"Good disciple, listen to me, you go and become the Peak of Jianghu! From then on, you won't be bound by those so-called martial arts orders, and it will make you, your iron face, a symbol of justice in the martial arts world!"
TMR-3_18_7,Do you want him to become a devil like you?
TMR-3_18_8,"What devil? The people I killed deserved to die, and the things I did were all in line with my conscience!"
TMR-3_18_9,It's just that those so-called righteous people can't tolerate a righteous and honorable person like me who is above them!
TMR-3_18_10,"But as long as everyone in the world recognizes this iron face, those righteous people can't say anything."
TMR-3_18_11,"Brother, violence has never led to good results."
TMR-3_18_12,"Some people only recognize fists, not people."
